,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
29,Boku dake ga Inai Machi,241,30,8.31,1275555.0,1954189,45960,TV,12,Finished Airing,Winter,2016,"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'DAX Production', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Lawson', 'Kanetsu Investment', 'C-one']",['Aniplex of America'],['A-1 Pictures'],"['Mystery', 'Supernatural', 'Suspense']","['Psychological', 'Time Travel']",Seinen
30,Nanatsu no Taizai,1180,31,7.68,1270965.0,1941955,19100,TV,24,Finished Airing,Fall,2014,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Kodansha', 'Movic']",['Funimation'],['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy']",,Shounen
31,Mirai Nikki (TV),1985,32,7.43,1161340.0,1920331,29986,TV,26,Finished Airing,Fall,2011,"['Lantis', 'Kadokawa Shoten', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'chara-ani.com', '12 Diary Holders', 'Dwango', 'Sakura Create']",['Funimation'],['asread.'],"['Action', 'Supernatural', 'Suspense']","['Gore', 'High Stakes Game', 'Psychological', 'Survival']",Shounen
32,Mob Psycho 100,131,33,8.49,1171608.0,1909457,44320,TV,12,Finished Airing,Summer,2016,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']","['Funimation', 'Crunchyroll']",['Bones'],"['Action', 'Comedy', 'Supernatural']",Super Power,
33,Ansatsu Kyoushitsu,468,34,8.09,1107777.0,1873799,28281,TV,22,Finished Airing,Winter,2015,"['Dentsu', 'Studio Hibari', 'Fuji TV', 'DAX Production', 'BS Fuji', 'Avex Pictures', 'Shueisha']",['Funimation'],['Lerche'],"['Action', 'Comedy']",School,Shounen
34,Sword Art Online II,5526,35,6.7,1267482.0,1872572,9177,TV,24,Finished Airing,Summer,2014,"['Aniplex', 'Genco', 'ASCII Media Works', 'Bandai Namco Games']",['Aniplex of America'],['A-1 Pictures'],"['Action', 'Adventure', 'Fantasy', 'Romance']","['Love Polygon', 'Video Game']",
35,Haikyuu!!,151,36,8.44,1140162.0,1830938,70008,TV,25,Finished Airing,Spring,2014,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha', 'Spacey Music Entertainment']",['Sentai Filmworks'],['Production I.G'],,"['School', 'Team Sports']",Shounen
36,Ao no Exorcist,1709,37,7.5,1103203.0,1828590,16565,TV,25,Finished Airing,Spring,2011,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sakura Create', 'Shueisha']",['Aniplex of America'],['A-1 Pictures'],"['Action', 'Fantasy']","['Mythology', 'School']",Shounen
37,Yakusoku no Neverland,117,38,8.52,1194524.0,1824608,31952,TV,12,Finished Airing,Winter,2019,"['Aniplex', 'Dentsu', 'Fuji TV', 'Shueisha', 'CA-Cygames Anime Fund']",['Aniplex of America'],['CloverWorks'],"['Mystery', 'Sci-Fi', 'Suspense']","['Psychological', 'Survival']",Shounen
38,Kono Subarashii Sekai ni Shukufuku wo!,427,39,8.12,1185199.0,1820907,42871,TV,10,Finished Airing,Winter,2016,"['Half H.P Studio', 'Nippon Columbia', 'KlockWorx', 'Sony Music Communications', 'Toranoana', '81 Produce', 'Kadokawa Media House', 'Kadokawa']","['Discotek Media', 'Crunchyroll']",['Studio Deen'],"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Parody', 'Reincarnation']",
