Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Genres,Demographic
Ginga Eiyuu Densetsu,11,724,9.02,74176,298804,15395,OVA,110,Finished Airing,,1988,Others,Drama,
Ginga Eiyuu Densetsu,11,724,9.02,74176,298804,15395,OVA,110,Finished Airing,,1988,Others,Sci-Fi,
Gintama': Enchousen,10,712,9.03,154383,301900,2930,TV,13,Finished Airing,Fall,2012,Sunrise,Action,Shounen
Gintama': Enchousen,10,712,9.03,154383,301900,2930,TV,13,Finished Airing,Fall,2012,Sunrise,Comedy,Shounen
Gintama': Enchousen,10,712,9.03,154383,301900,2930,TV,13,Finished Airing,Fall,2012,Sunrise,Sci-Fi,Shounen
Fruits Basket: The Final,12,496,9.01,199637,409391,18297,TV,13,Finished Airing,Spring,2021,TMS Entertainment,Drama,Shoujo
Fruits Basket: The Final,12,496,9.01,199637,409391,18297,TV,13,Finished Airing,Spring,2021,TMS Entertainment,Romance,Shoujo
Fruits Basket: The Final,12,496,9.01,199637,409391,18297,TV,13,Finished Airing,Spring,2021,TMS Entertainment,Supernatural,Shoujo
Gintama.,13,743,8.99,134928,290072,2613,TV,12,Finished Airing,Winter,2017,Bandai Namco Pictures,Action,Shounen
Gintama.,13,743,8.99,134928,290072,2613,TV,12,Finished Airing,Winter,2017,Bandai Namco Pictures,Comedy,Shounen
Gintama.,13,743,8.99,134928,290072,2613,TV,12,Finished Airing,Winter,2017,Bandai Namco Pictures,Sci-Fi,Shounen
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,14,1944,8.97,10420,95319,476,Movie,1,Finished Airing,,2022,A-1 Pictures,Comedy,Seinen
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,14,1944,8.97,10420,95319,476,Movie,1,Finished Airing,,2022,A-1 Pictures,Drama,Seinen
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,14,1944,8.97,10420,95319,476,Movie,1,Finished Airing,,2022,A-1 Pictures,Romance,Seinen
3-gatsu no Lion 2nd Season,15,551,8.94,186834,375011,14687,TV,22,Finished Airing,Fall,2017,Shaft,Drama,Seinen
3-gatsu no Lion 2nd Season,15,551,8.94,186834,375011,14687,TV,22,Finished Airing,Fall,2017,Shaft,Slice of Life,Seinen
