,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
220,Versailles no Bara,221,2016,8.33,27574,90088,2777,TV,40,Finished Airing,Fall,1979,['Nippon Television Network'],"['Nozomi Entertainment', 'Discotek Media']",['Tokyo Movie Shinsha'],"['Drama', 'Romance']","['Historical', 'Military']",Shoujo
221,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",222,715,8.33,179739,301195,813,Special,1,Finished Airing,,2018,"['Lantis', 'Pony Canyon', 'Rakuonsha', 'ABC Animation']",['add some'],['Kyoto Animation'],"['Drama', 'Fantasy']",,
222,Kobayashi-san Chi no Maid Dragon S,223,394,8.32,240897,502951,5684,TV,12,Finished Airing,Summer,2021,"['Lantis', 'ABC Animation', 'Heart Company']",['add some'],['Kyoto Animation'],"['Fantasy', 'Slice of Life']",,
223,Natsume Yuujinchou Go Specials,224,3093,8.32,19321,42568,54,Special,2,Finished Airing,,2017,['add some'],['add some'],['Shuka'],"['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
224,Ookami to Koushinryou II,225,427,8.32,262789,468327,4189,TV,12,Finished Airing,Summer,2009,"['Imagin', 'flying DOG']",['Funimation'],"[""Brain's Base"", 'Marvy Jack']","['Adventure', 'Fantasy', 'Romance']",Adult Cast,
225,Romeo no Aoi Sora,226,2930,8.32,16406,46971,612,TV,33,Finished Airing,Winter,1995,['add some'],['add some'],['Nippon Animation'],"['Adventure', 'Drama', 'Slice of Life']",Historical,
226,The First Slam Dunk,227,5004,8.32,871,15184,102,Movie,1,Finished Airing,,2022,['add some'],['add some'],"['Toei Animation', 'DandeLion Animation Studio']",,"['School', 'Team Sports']",Shounen
227,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,228,63,8.32,938551,1529971,32025,TV,11,Finished Airing,Spring,2011,"['Aniplex', 'Dentsu', 'Fuji TV', 'Fujipacific Music']","['NIS America, Inc.', 'Aniplex of America']",['A-1 Pictures'],"['Drama', 'Supernatural']",,
228,Fate/stay night: Unlimited Blade Works 2nd Season,229,194,8.32,532734,806254,8969,TV,13,Finished Airing,Spring,2015,"['Aniplex', 'Notes']",['Aniplex of America'],['ufotable'],"['Action', 'Fantasy', 'Supernatural']",,
229,Initial D First Stage,230,619,8.32,171450,341175,10721,TV,26,Finished Airing,Spring,1998,"['OB Planning', 'Fuji TV']","['Funimation', 'Tokyopop']","['Gallop', 'Studio Comet']","['Action', 'Drama']",Racing,Seinen
230,Katanagatari,231,363,8.32,205986,537867,10607,TV,12,Finished Airing,Winter,2010,"['Aniplex', 'Lantis', 'Kodansha', 'Movic', 'Fuji TV']","['NIS America, Inc.']",['White Fox'],"['Action', 'Adventure', 'Romance']","['Historical', 'Martial Arts']",
231,Kawaki wo Ameku,232,3887,8.32,17423,27364,194,Music,1,Finished Airing,,2019,['add some'],['add some'],['add some'],,Music,
232,Kemono no Souja Erin,233,2122,8.32,20279,82278,1478,TV,50,Finished Airing,Winter,2009,['NHK'],['add some'],"['Production I.G', 'Trans Arts']","['Drama', 'Fantasy']",,
233,Boku dake ga Inai Machi,234,30,8.31,1273283,1950562,45904,TV,12,Finished Airing,Winter,2016,"['Aniplex', 'Dentsu', 'Kadokawa Shoten', 'Fuji TV', 'DAX Production', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Lawson', 'Kanetsu Investment', 'C-one']",['Aniplex of America'],['A-1 Pictures'],"['Mystery', 'Supernatural', 'Suspense']","['Psychological', 'Time Travel']",Seinen
234,Boku no Hero Academia 6th Season,235,439,8.31,90052,455733,4798,TV,25,Currently Airing,Fall,2022,"['Dentsu', 'Yomiuri Telecasting', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['add some'],['Bones'],,"['School', 'Super Power']",Shounen
235,Evangelion: 2.0 You Can (Not) Advance,236,392,8.31,309502,505296,3342,Movie,1,Finished Airing,,2009,['add some'],['Funimation'],['Khara'],"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Psychological']",
236,Hunter x Hunter: Original Video Animation,237,1633,8.31,63338,120926,389,OVA,8,Finished Airing,,2002,['add some'],['add some'],['Nippon Animation'],"['Action', 'Adventure', 'Fantasy']",,Shounen
237,Natsume Yuujinchou,238,387,8.31,176628,509266,15001,TV,13,Finished Airing,Summer,2008,"['Aniplex', 'Nihon Ad Systems', 'TV Tokyo Music', 'Sony Music Entertainment']","['NIS America, Inc.', 'Crunchyroll']","[""Brain's Base""]","['Drama', 'Slice of Life', 'Supernatural']","['Iyashikei', 'Mythology']",Shoujo
238,NHK ni Youkoso!,239,254,8.31,315435,692692,24912,TV,24,Finished Airing,Summer,2006,"['NHK', 'Victor Entertainment']","['ADV Films', 'Funimation']",['Gonzo'],"['Comedy', 'Drama', 'Romance']","['Otaku Culture', 'Psychological']",
