Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Demographic
Yojouhan Shinwa Taikei,93,483,8.57,135901,419864,17418,TV,11,Finished Airing,Spring,2010,Madhouse,
Ousama Ranking,94,359,8.56,275778,538258,11471,TV,23,Finished Airing,Fall,2021,Wit Studio,
Fate/Zero 2nd Season,95,128,8.56,673439,1056717,19929,TV,12,Finished Airing,Spring,2012,ufotable,
Fruits Basket 2nd Season,96,443,8.56,226945,452374,5549,TV,25,Finished Airing,Spring,2020,TMS Entertainment,Shoujo
Karakai Jouzu no Takagi-san Movie,97,2833,8.56,15712,50079,550,Movie,1,Finished Airing,,2022,Shin-Ei Animation,Shounen
Kenpuu Denki Berserk,98,328,8.56,313931,589412,24527,TV,25,Finished Airing,Fall,1997,OLM,Seinen
Kimi no Suizou wo Tabetai,99,176,8.56,514804,863453,18947,Movie,1,Finished Airing,,2018,Others,
Haikyuu!! To the Top Part 2,100,236,8.55,428865,731175,5828,TV,12,Finished Airing,Fall,2020,Production I.G,Shounen
Zoku Natsume Yuujinchou,101,913,8.55,119303,236147,1397,TV,13,Finished Airing,Winter,2009,"""Brains Base""",Shoujo
Neon Genesis Evangelion: The End of Evangelion,102,178,8.55,570041,855332,26534,Movie,1,Finished Airing,,1997,Gainax,
Neon Genesis Evangelion: The End of Evangelion,102,178,8.55,570041,855332,26534,Movie,1,Finished Airing,,1997,Production I.G,
Mushishi: Hihamukage,103,1526,8.54,63369,131238,180,Special,1,Finished Airing,,2014,Artland,Seinen
Slam Dunk,104,790,8.54,125961,275807,6688,TV,101,Finished Airing,Fall,1993,Toei Animation,Shounen
Bakuman. 3rd Season,105,671,8.54,186689,317247,2916,TV,25,Finished Airing,Fall,2012,J.C.Staff,Shounen
Kara no Kyoukai Movie 5: Mujun Rasen,106,946,8.53,126305,227693,4454,Movie,1,Finished Airing,,2008,ufotable,
Nana,107,322,8.53,229153,601621,26315,TV,47,Finished Airing,Spring,2006,Madhouse,Shoujo
Perfect Blue,108,297,8.53,334939,628595,17000,Movie,1,Finished Airing,,1998,Madhouse,
Road of Naruto,109,4330,8.53,13509,21530,90,ONA,1,Finished Airing,,2022,Pierrot,Shounen
Shingeki no Kyojin,110,1,8.53,2599935,3657340,160121,TV,25,Finished Airing,Spring,2013,Wit Studio,Shounen
Shoujo☆Kageki Revue Starlight Movie,111,5070,8.53,5636,14636,591,Movie,1,Finished Airing,,2021,Kinema Citrus,
Sora yori mo Tooi Basho,112,426,8.53,202411,468590,13317,TV,13,Finished Airing,Winter,2018,Madhouse,
Steins;Gate 0,113,191,8.53,391636,811881,11174,TV,23,Finished Airing,Spring,2018,White Fox,
Summertime Render,114,527,8.53,137904,389737,6238,TV,25,Finished Airing,Spring,2022,OLM,Shounen
Yuru Camp△ Season 2,115,1082,8.53,81975,199655,2823,TV,13,Finished Airing,Winter,2021,Others,
Yakusoku no Neverland,116,38,8.52,1192059,1820760,31935,TV,12,Finished Airing,Winter,2019,CloverWorks,Shounen
Gintama Movie 1: Shinyaku Benizakura-hen,117,1363,8.52,89395,154148,599,Movie,1,Finished Airing,,2010,Sunrise,Shounen
