Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Themes,Demographic
Mob Psycho 100 III,41,383,8.74,202086,512628,7880,TV,12,Finished Airing,Fall,2022,Super Power,
Mushishi Zoku Shou 2nd Season,42,866,8.73,99337,249815,1378,TV,10,Finished Airing,Fall,2014,Adult Cast,Seinen
Mushishi Zoku Shou 2nd Season,42,866,8.73,99337,249815,1378,TV,10,Finished Airing,Fall,2014,Historical,Seinen
Mushishi Zoku Shou 2nd Season,42,866,8.73,99337,249815,1378,TV,10,Finished Airing,Fall,2014,Iyashikei,Seinen
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,43,1202,8.73,61719,177640,3051,TV,12,Finished Airing,Winter,2017,Adult Cast,Josei
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,43,1202,8.73,61719,177640,3051,TV,12,Finished Airing,Winter,2017,Historical,Josei
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,43,1202,8.73,61719,177640,3051,TV,12,Finished Airing,Winter,2017,Love Polygon,Josei
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,43,1202,8.73,61719,177640,3051,TV,12,Finished Airing,Winter,2017,Performing Arts,Josei
Vinland Saga,44,90,8.73,714701,1282602,39424,TV,24,Finished Airing,Summer,2019,Gore,Seinen
Vinland Saga,44,90,8.73,714701,1282602,39424,TV,24,Finished Airing,Summer,2019,Historical,Seinen
Vinland Saga Season 2,45,650,8.73,40924,325864,3430,TV,24,Currently Airing,Winter,2023,Gore,Seinen
Vinland Saga Season 2,45,650,8.73,40924,325864,3430,TV,24,Currently Airing,Winter,2023,Historical,Seinen
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,46,235,8.71,443198,737498,16407,TV,12,Finished Airing,Fall,2021,Isekai,
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,46,235,8.71,443198,737498,16407,TV,12,Finished Airing,Fall,2021,Reincarnation,
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,47,815,8.71,132799,265607,6077,OVA,4,Finished Airing,,1999,Adult Cast,Shounen
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,47,815,8.71,132799,265607,6077,OVA,4,Finished Airing,,1999,Historical,Shounen
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,47,815,8.71,132799,265607,6077,OVA,4,Finished Airing,,1999,Martial Arts,Shounen
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,47,815,8.71,132799,265607,6077,OVA,4,Finished Airing,,1999,Samurai,Shounen
86 Part 2,48,509,8.71,215262,401743,11980,TV,12,Finished Airing,Fall,2021,Mecha,
86 Part 2,48,509,8.71,215262,401743,11980,TV,12,Finished Airing,Fall,2021,Military,
Ashita no Joe 2,49,2959,8.71,17930,46190,2341,TV,47,Finished Airing,Fall,1980,Combat Sports,Shounen
Code Geass: Hangyaku no Lelouch,50,20,8.7,1318147,2109531,103758,TV,25,Finished Airing,Fall,2006,Mecha,
Code Geass: Hangyaku no Lelouch,50,20,8.7,1318147,2109531,103758,TV,25,Finished Airing,Fall,2006,Military,
Code Geass: Hangyaku no Lelouch,50,20,8.7,1318147,2109531,103758,TV,25,Finished Airing,Fall,2006,School,
Code Geass: Hangyaku no Lelouch,50,20,8.7,1318147,2109531,103758,TV,25,Finished Airing,Fall,2006,Super Power,
Mushishi Zoku Shou,51,761,8.7,111916,283232,1498,TV,10,Finished Airing,Spring,2014,Adult Cast,Seinen
Mushishi Zoku Shou,51,761,8.7,111916,283232,1498,TV,10,Finished Airing,Spring,2014,Historical,Seinen
Mushishi Zoku Shou,51,761,8.7,111916,283232,1498,TV,10,Finished Airing,Spring,2014,Iyashikei,Seinen
Odd Taxi,52,561,8.7,181438,369746,7385,TV,13,Finished Airing,Spring,2021,Anthropomorphic,
Fate/stay night Movie: Heaven's Feel - III. Spring Song,53,695,8.69,161090,310515,7512,Movie,1,Finished Airing,,2020,,
Great Teacher Onizuka,54,217,8.69,380479,771832,24763,TV,43,Finished Airing,Summer,1999,Delinquents,Shounen
Great Teacher Onizuka,54,217,8.69,380479,771832,24763,TV,43,Finished Airing,Summer,1999,School,Shounen
Great Teacher Onizuka,54,217,8.69,380479,771832,24763,TV,43,Finished Airing,Summer,1999,Workplace,Shounen
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,55,1665,8.69,74696,118255,2064,ONA,14,Finished Airing,,2022,,Shounen
Made in Abyss: Retsujitsu no Ougonkyou,56,599,8.68,134980,352365,4676,TV,12,Finished Airing,Summer,2022,Gore,
Made in Abyss: Retsujitsu no Ougonkyou,56,599,8.68,134980,352365,4676,TV,12,Finished Airing,Summer,2022,Survival,
One Piece,57,21,8.68,1184231,2099605,190799,TV,0,Currently Airing,Fall,1999,,Shounen
Mononoke Hime,58,105,8.67,751876,1163853,20160,Movie,1,Finished Airing,,1997,,
Spy x Family,59,93,8.67,746856,1253320,36915,TV,12,Finished Airing,Spring,2022,Childcare,Shounen
Violet Evergarden,60,50,8.67,888777,1632375,56198,TV,13,Finished Airing,Winter,2018,,
Made in Abyss,61,92,8.66,676733,1254956,40823,TV,13,Finished Airing,Summer,2017,Gore,
Made in Abyss,61,92,8.66,676733,1254956,40823,TV,13,Finished Airing,Summer,2017,Survival,
Mushishi,62,208,8.66,264131,780054,25608,TV,26,Finished Airing,Fall,2005,Adult Cast,Seinen
Mushishi,62,208,8.66,264131,780054,25608,TV,26,Finished Airing,Fall,2005,Historical,Seinen
Mushishi,62,208,8.66,264131,780054,25608,TV,26,Finished Airing,Fall,2005,Iyashikei,Seinen
Hajime no Ippo: New Challenger,63,828,8.66,152230,260166,1671,TV,26,Finished Airing,Winter,2009,Combat Sports,Shounen
Howl no Ugoku Shiro,64,95,8.66,841499,1217924,25958,Movie,1,Finished Airing,,2004,,
Chainsaw Man,65,109,8.65,522282,1140315,37805,TV,12,Finished Airing,Fall,2022,Gore,Shounen
Jujutsu Kaisen,66,17,8.65,1394028,2155282,78790,TV,24,Finished Airing,Fall,2020,School,Shounen
Natsume Yuujinchou Shi,67,926,8.65,103046,232373,1933,TV,13,Finished Airing,Winter,2012,Iyashikei,Shoujo
Natsume Yuujinchou Shi,67,926,8.65,103046,232373,1933,TV,13,Finished Airing,Winter,2012,Mythology,Shoujo
Shigatsu wa Kimi no Uso,68,23,8.65,1260984,2063882,82237,TV,22,Finished Airing,Fall,2014,Music,Shounen
Shigatsu wa Kimi no Uso,68,23,8.65,1260984,2063882,82237,TV,22,Finished Airing,Fall,2014,School,Shounen
Haikyuu!! Second Season,69,84,8.64,879528,1330581,15396,TV,25,Finished Airing,Fall,2015,School,Shounen
Haikyuu!! Second Season,69,84,8.64,879528,1330581,15396,TV,25,Finished Airing,Fall,2015,Team Sports,Shounen
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,70,96,8.64,774563,1215628,18521,TV,12,Finished Airing,Spring,2020,Psychological,Seinen
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,70,96,8.64,774563,1215628,18521,TV,12,Finished Airing,Spring,2020,Romantic Subtext,Seinen
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,70,96,8.64,774563,1215628,18521,TV,12,Finished Airing,Spring,2020,School,Seinen
Bungou Stray Dogs 4th Season,71,1167,8.63,16474,182664,1848,TV,13,Currently Airing,Winter,2023,Adult Cast,Seinen
Bungou Stray Dogs 4th Season,71,1167,8.63,16474,182664,1848,TV,13,Currently Airing,Winter,2023,Organized Crime,Seinen
Bungou Stray Dogs 4th Season,71,1167,8.63,16474,182664,1848,TV,13,Currently Airing,Winter,2023,Super Power,Seinen
Kimetsu no Yaiba Movie: Mugen Ressha-hen,72,86,8.63,870876,1328020,12416,Movie,1,Finished Airing,,2020,Historical,Shounen
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,73,505,8.63,212064,403050,3207,Movie,1,Finished Airing,,2020,Gore,
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,73,505,8.63,212064,403050,3207,Movie,1,Finished Airing,,2020,Survival,
Tengen Toppa Gurren Lagann,74,64,8.63,854184,1521869,74836,TV,27,Finished Airing,Spring,2007,Mecha,
Mo Dao Zu Shi: Wanjie Pian,75,2385,8.62,20950,68312,1463,ONA,12,Finished Airing,,2021,Historical,
Mo Dao Zu Shi: Wanjie Pian,75,2385,8.62,20950,68312,1463,ONA,12,Finished Airing,,2021,Mythology,
Mo Dao Zu Shi: Wanjie Pian,75,2385,8.62,20950,68312,1463,ONA,12,Finished Airing,,2021,Reincarnation,
