Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Demographic
No Game No Life: Zero,344,190,8.2,443482.0,817169,7468,Movie,1,Finished Airing,,2017,Frontier Works,
No Game No Life: Zero,344,190,8.2,443482.0,817169,7468,Movie,1,Finished Airing,,2017,Movic,
No Game No Life: Zero,344,190,8.2,443482.0,817169,7468,Movie,1,Finished Airing,,2017,AT-X,
No Game No Life: Zero,344,190,8.2,443482.0,817169,7468,Movie,1,Finished Airing,,2017,Kadokawa,
Steins;Gate 0,114,191,8.53,392532.0,813446,11189,TV,23,Finished Airing,Spring,2018,Frontier Works,
Steins;Gate 0,114,191,8.53,392532.0,813446,11189,TV,23,Finished Airing,Spring,2018,Media Factory,
Steins;Gate 0,114,191,8.53,392532.0,813446,11189,TV,23,Finished Airing,Spring,2018,Kadokawa Shoten,
Steins;Gate 0,114,191,8.53,392532.0,813446,11189,TV,23,Finished Airing,Spring,2018,Movic,
Boruto: Naruto Next Generations,10862,192,5.7,401924.0,811292,6870,TV,0,Currently Airing,Spring,2017,TV Tokyo,Shounen
Boruto: Naruto Next Generations,10862,192,5.7,401924.0,811292,6870,TV,0,Currently Airing,Spring,2017,Aniplex,Shounen
Boruto: Naruto Next Generations,10862,192,5.7,401924.0,811292,6870,TV,0,Currently Airing,Spring,2017,Rakuonsha,Shounen
Boruto: Naruto Next Generations,10862,192,5.7,401924.0,811292,6870,TV,0,Currently Airing,Spring,2017,Shueisha,Shounen
Kotonoha no Niwa,727,193,7.9,488174.0,808312,6685,Movie,1,Finished Airing,,2013,The Answer Studio,
Kotonoha no Niwa,727,193,7.9,488174.0,808312,6685,Movie,1,Finished Airing,,2013,TOHO animation,
Fate/stay night: Unlimited Blade Works 2nd Season,227,194,8.32,533465.0,807493,8975,TV,13,Finished Airing,Spring,2015,Aniplex,
Fate/stay night: Unlimited Blade Works 2nd Season,227,194,8.32,533465.0,807493,8975,TV,13,Finished Airing,Spring,2015,Notes,
Tokyo Ghoul:re 2nd Season,7153,195,6.42,480393.0,806682,2657,TV,12,Finished Airing,Fall,2018,Marvelous,Seinen
Tokyo Ghoul:re 2nd Season,7153,195,6.42,480393.0,806682,2657,TV,12,Finished Airing,Fall,2018,TC Entertainment,Seinen
Tokyo Ghoul:re 2nd Season,7153,195,6.42,480393.0,806682,2657,TV,12,Finished Airing,Fall,2018,Shueisha,Seinen
Kuroko no Basket 2nd Season,319,196,8.22,512849.0,805346,4297,TV,25,Finished Airing,Fall,2013,Bandai Visual,Shounen
Kuroko no Basket 2nd Season,319,196,8.22,512849.0,805346,4297,TV,25,Finished Airing,Fall,2013,Lantis,Shounen
Kuroko no Basket 2nd Season,319,196,8.22,512849.0,805346,4297,TV,25,Finished Airing,Fall,2013,Nihon Ad Systems,Shounen
Kuroko no Basket 2nd Season,319,196,8.22,512849.0,805346,4297,TV,25,Finished Airing,Fall,2013,Banpresto,Shounen
Kuroko no Basket 2nd Season,319,196,8.22,512849.0,805346,4297,TV,25,Finished Airing,Fall,2013,Shueisha,Shounen
Kuroko no Basket 2nd Season,319,196,8.22,512849.0,805346,4297,TV,25,Finished Airing,Fall,2013,BS11,Shounen
Magi: The Kingdom of Magic,321,197,8.22,437785.0,803402,7547,TV,25,Finished Airing,Fall,2013,Aniplex,Shounen
Magi: The Kingdom of Magic,321,197,8.22,437785.0,803402,7547,TV,25,Finished Airing,Fall,2013,Dentsu,Shounen
Magi: The Kingdom of Magic,321,197,8.22,437785.0,803402,7547,TV,25,Finished Airing,Fall,2013,Shogakukan-Shueisha Productions,Shounen
Magi: The Kingdom of Magic,321,197,8.22,437785.0,803402,7547,TV,25,Finished Airing,Fall,2013,Mainichi Broadcasting System,Shounen
Magi: The Kingdom of Magic,321,197,8.22,437785.0,803402,7547,TV,25,Finished Airing,Fall,2013,Movic,Shounen
Magi: The Kingdom of Magic,321,197,8.22,437785.0,803402,7547,TV,25,Finished Airing,Fall,2013,GYAO!,Shounen
Masamune-kun no Revenge,5312,198,6.74,468898.0,802582,3052,TV,12,Finished Airing,Winter,2017,Sotsu,Shounen
Masamune-kun no Revenge,5312,198,6.74,468898.0,802582,3052,TV,12,Finished Airing,Winter,2017,Lantis,Shounen
Masamune-kun no Revenge,5312,198,6.74,468898.0,802582,3052,TV,12,Finished Airing,Winter,2017,AT-X,Shounen
Masamune-kun no Revenge,5312,198,6.74,468898.0,802582,3052,TV,12,Finished Airing,Winter,2017,KlockWorx,Shounen
Masamune-kun no Revenge,5312,198,6.74,468898.0,802582,3052,TV,12,Finished Airing,Winter,2017,BS Fuji,Shounen
Masamune-kun no Revenge,5312,198,6.74,468898.0,802582,3052,TV,12,Finished Airing,Winter,2017,Tokyo MX,Shounen
Masamune-kun no Revenge,5312,198,6.74,468898.0,802582,3052,TV,12,Finished Airing,Winter,2017,Ichijinsha,Shounen
Masamune-kun no Revenge,5312,198,6.74,468898.0,802582,3052,TV,12,Finished Airing,Winter,2017,FuRyu,Shounen
Masamune-kun no Revenge,5312,198,6.74,468898.0,802582,3052,TV,12,Finished Airing,Winter,2017,Crunchyroll SC Anime Fund,Shounen
Akatsuki no Yona,537,199,8.03,391161.0,799804,15242,TV,24,Finished Airing,Fall,2014,VAP,Shoujo
Akatsuki no Yona,537,199,8.03,391161.0,799804,15242,TV,24,Finished Airing,Fall,2014,Hakusensha,Shoujo
Akatsuki no Yona,537,199,8.03,391161.0,799804,15242,TV,24,Finished Airing,Fall,2014,AT-X,Shoujo
Akatsuki no Yona,537,199,8.03,391161.0,799804,15242,TV,24,Finished Airing,Fall,2014,Delfi Sound,Shoujo
