Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Genres,Demographic
Yakusoku no Neverland,117,38,8.52,1194524.0,1824608,31952,TV,12,Finished Airing,Winter,2019,Mystery,Shounen
Yakusoku no Neverland,117,38,8.52,1194524.0,1824608,31952,TV,12,Finished Airing,Winter,2019,Sci-Fi,Shounen
Yakusoku no Neverland,117,38,8.52,1194524.0,1824608,31952,TV,12,Finished Airing,Winter,2019,Suspense,Shounen
Kono Subarashii Sekai ni Shukufuku wo!,427,39,8.12,1185199.0,1820907,42871,TV,10,Finished Airing,Winter,2016,Adventure,
Kono Subarashii Sekai ni Shukufuku wo!,427,39,8.12,1185199.0,1820907,42871,TV,10,Finished Airing,Winter,2016,Comedy,
Kono Subarashii Sekai ni Shukufuku wo!,427,39,8.12,1185199.0,1820907,42871,TV,10,Finished Airing,Winter,2016,Fantasy,
Bleach,710,40,7.91,1045209.0,1815663,67126,TV,366,Finished Airing,Fall,2004,Action,Shounen
Bleach,710,40,7.91,1045209.0,1815663,67126,TV,366,Finished Airing,Fall,2004,Adventure,Shounen
Bleach,710,40,7.91,1045209.0,1815663,67126,TV,366,Finished Airing,Fall,2004,Fantasy,Shounen
Shingeki no Kyojin: The Final Season,31,41,8.81,1177891.0,1786791,51008,TV,16,Finished Airing,Winter,2021,Action,Shounen
Shingeki no Kyojin: The Final Season,31,41,8.81,1177891.0,1786791,51008,TV,16,Finished Airing,Winter,2021,Drama,Shounen
Kiseijuu: Sei no Kakuritsu,209,42,8.34,1082166.0,1747169,33068,TV,24,Finished Airing,Fall,2014,Action,Seinen
Kiseijuu: Sei no Kakuritsu,209,42,8.34,1082166.0,1747169,33068,TV,24,Finished Airing,Fall,2014,Horror,Seinen
Kiseijuu: Sei no Kakuritsu,209,42,8.34,1082166.0,1747169,33068,TV,24,Finished Airing,Fall,2014,Sci-Fi,Seinen
Cowboy Bebop,39,43,8.75,893529.0,1734058,76916,TV,26,Finished Airing,Spring,1998,Action,
Cowboy Bebop,39,43,8.75,893529.0,1734058,76916,TV,26,Finished Airing,Spring,1998,Award Winning,
Cowboy Bebop,39,43,8.75,893529.0,1734058,76916,TV,26,Finished Airing,Spring,1998,Sci-Fi,
Sen to Chihiro no Kamikakushi,34,44,8.78,1208215.0,1722546,30486,Movie,1,Finished Airing,,2001,Adventure,
Sen to Chihiro no Kamikakushi,34,44,8.78,1208215.0,1722546,30486,Movie,1,Finished Airing,,2001,Award Winning,
Sen to Chihiro no Kamikakushi,34,44,8.78,1208215.0,1722546,30486,Movie,1,Finished Airing,,2001,Supernatural,
Tokyo Ghoul √A,3948,45,7.03,1140027.0,1680356,10262,TV,12,Finished Airing,Winter,2015,Action,Seinen
Tokyo Ghoul √A,3948,45,7.03,1140027.0,1680356,10262,TV,12,Finished Airing,Winter,2015,Fantasy,Seinen
Tokyo Ghoul √A,3948,45,7.03,1140027.0,1680356,10262,TV,12,Finished Airing,Winter,2015,Horror,Seinen
Neon Genesis Evangelion,210,46,8.34,1000460.0,1679253,98496,TV,26,Finished Airing,Fall,1995,Action,
Neon Genesis Evangelion,210,46,8.34,1000460.0,1679253,98496,TV,26,Finished Airing,Fall,1995,Avant Garde,
Neon Genesis Evangelion,210,46,8.34,1000460.0,1679253,98496,TV,26,Finished Airing,Fall,1995,Award Winning,
Neon Genesis Evangelion,210,46,8.34,1000460.0,1679253,98496,TV,26,Finished Airing,Fall,1995,Drama,
Neon Genesis Evangelion,210,46,8.34,1000460.0,1679253,98496,TV,26,Finished Airing,Fall,1995,Sci-Fi,
Neon Genesis Evangelion,210,46,8.34,1000460.0,1679253,98496,TV,26,Finished Airing,Fall,1995,Suspense,
Code Geass: Hangyaku no Lelouch R2,22,47,8.91,1125393.0,1667662,73674,TV,25,Finished Airing,Spring,2008,Action,
Code Geass: Hangyaku no Lelouch R2,22,47,8.91,1125393.0,1667662,73674,TV,25,Finished Airing,Spring,2008,Award Winning,
Code Geass: Hangyaku no Lelouch R2,22,47,8.91,1125393.0,1667662,73674,TV,25,Finished Airing,Spring,2008,Drama,
Code Geass: Hangyaku no Lelouch R2,22,47,8.91,1125393.0,1667662,73674,TV,25,Finished Airing,Spring,2008,Sci-Fi,
Fairy Tail,1445,48,7.58,968898.0,1659249,45119,TV,175,Finished Airing,Fall,2009,Action,Shounen
Fairy Tail,1445,48,7.58,968898.0,1659249,45119,TV,175,Finished Airing,Fall,2009,Adventure,Shounen
Fairy Tail,1445,48,7.58,968898.0,1659249,45119,TV,175,Finished Airing,Fall,2009,Fantasy,Shounen
Death Parade,385,49,8.16,946713.0,1656746,27113,TV,12,Finished Airing,Winter,2015,Drama,
